-0.506891 -7.796500
-0.498688 -7.795400
-0.490567 -7.791900
-0.482363 -7.787100
-0.474160 -7.790900
-0.466038 -7.796400
-0.457835 -7.799700
-0.449615 -7.801000
-0.441510 -7.801400
-0.433290 -7.801000
-0.425185 -7.799200
-0.416965 -7.796100
-0.408762 -7.791600
-0.400657 -7.785800
-0.392437 -7.778800
-0.384233 -7.770700
-0.376112 -7.778000
-0.367908 -7.786500
-0.359689 -7.793300
-0.351584 -7.798300
-0.343380 -7.801600
-0.335160 -7.803400
-0.327055 -7.803500
-0.318835 -7.802100
-0.310731 -7.799200
-0.302511 -7.794900
-0.294307 -7.789300
-0.286186 -7.786000
-0.277982 -7.788900
-0.269779 -7.791400
-0.261657 -7.793300
-0.253454 -7.794900
-0.245234 -7.796100
-0.237129 -7.797000
-0.228909 -7.797500
-0.220706 -7.797800
-0.212584 -7.797900
-0.204381 -7.797800
-0.196177 -7.797500
-0.188056 -7.797100
-0.179852 -7.796600
-0.171731 -7.796000
-0.163528 -7.795300
-0.155308 -7.794700
-0.147203 -7.794000
-0.138983 -7.793300
-0.130779 -7.792700
-0.122675 -7.792100
-0.114455 -7.791600
-0.106251 -7.791100
-0.098130 -7.790800
-0.089926 -7.790500
-0.081706 -7.791000
-0.073601 -7.792000
-0.065398 -7.792700
-0.057277 -7.793200
-0.049073 -7.793500
-0.040853 -7.793600
-0.032748 -7.793500
-0.024528 -7.793300
-0.016325 -7.793000
-0.008204 -7.792700
0.000000 -7.792400
0.011529 -7.792700
0.022928 -7.793100
0.034457 -7.793400
0.045997 -7.793600
0.057385 -7.793600
0.068926 -7.793400
0.080454 -7.792800
0.091854 -7.792700
0.103382 -7.793400
0.114771 -7.794200
0.126311 -7.795200
0.137839 -7.796100
0.149239 -7.797100
0.160768 -7.798100
0.172308 -7.799000
0.183696 -7.799700
0.195225 -7.800200
0.206765 -7.800500
0.218153 -7.800300
0.229693 -7.799800
0.241222 -7.798700
0.252622 -7.796900
0.264150 -7.794500
0.275550 -7.791200
0.287079 -7.787300
0.298607 -7.801800
0.310007 -7.814200
0.321535 -7.824400
0.333076 -7.832100
0.344464 -7.837200
0.356004 -7.839600
0.367533 -7.839100
0.378932 -7.835700
0.390461 -7.831000
0.401990 -7.840200
0.413389 -7.846800
0.424918 -7.850700
0.436458 -7.851500
0.447846 -7.849300
0.459387 -7.844400
0.470775 -7.842500
0.482315 -7.837900
0.493843 -7.828800
0.505232 -7.817300
0.516772 -7.811300
0.528300 -7.801700
0.539700 -7.787800
0.551229 -7.769200
0.562769 -7.745400
0.574157 -7.716400
0.585686 -7.681900
0.597226 -7.642100
0.608614 -7.596900
0.620154 -7.546500
0.631542 -7.490800
0.643083 -7.429900
0.654611 -7.364000
0.666011 -7.293100
0.677539 -7.217500
0.689068 -7.137200
0.700468 -7.052500

-0.506891 -7.796500
-0.498688 -7.795400
-0.490567 -7.791900
-0.482363 -7.787100
-0.474160 -7.790900
-0.466038 -7.796400
-0.457835 -7.799700
-0.449615 -7.801000
-0.441510 -7.801400
-0.433290 -7.801000
-0.425185 -7.799200
-0.416965 -7.796100
-0.408762 -7.791600
-0.400657 -7.785800
-0.392437 -7.778800
-0.384233 -7.770700
-0.376112 -7.778000
-0.367908 -7.786500
-0.359689 -7.793300
-0.351584 -7.798300
-0.343380 -7.801600
-0.335160 -7.803400
-0.327055 -7.803500
-0.318835 -7.802100
-0.310731 -7.799200
-0.302511 -7.794900
-0.294307 -7.789300
-0.286186 -7.786000
-0.277982 -7.788900
